GEO.id,GEO.id2,GEO.display-label,HD01_VD01
Id,Id2,Geography,Estimate; Aggregate travel time to work (in minutes):
310M300US10180,10180,"Abilene, TX Metro Area",1265455
310M300US10420,10420,"Akron, OH Metro Area",7633090
310M300US10500,10500,"Albany, GA Metro Area",1188885
310M300US10540,10540,"Albany, OR Metro Area",1058865
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",9681710
310M300US10740,10740,"Albuquerque, NM Metro Area",8991725
310M300US10780,10780,"Alexandria, LA Metro Area",1398590
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",10595465
310M300US11020,11020,"Altoona, PA Metro Area",1085885
310M300US11100,11100,"Amarillo, TX Metro Area",2253290
310M300US11180,11180,"Ames, IA Metro Area",838735
310M300US11260,11260,"Anchorage, AK Metro Area",4210540
310M300US11460,11460,"Ann Arbor, MI Metro Area",4005300
310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",1113310
310M300US11540,11540,"Appleton, WI Metro Area",2388520
310M300US11700,11700,"Asheville, NC Metro Area",4011825
310M300US12020,12020,"Athens-Clarke County, GA Metro Area",1883285
310M300US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",79338705
310M300US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",2955915
310M300US12220,12220,"Auburn-Opelika, AL Metro Area",1515950
310M300US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",5712830
310M300US12420,12420,"Austin-Round Rock, TX Metro Area",25560295
310M300US12540,12540,"Bakersfield, CA Metro Area",7469095
310M300US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",40829875
310M300US12620,12620,"Bangor, ME Metro Area",1542085
310M300US12700,12700,"Barnstable Town, MA Metro Area",2223625
310M300US12940,12940,"Baton Rouge, LA Metro Area",9826155
310M300US12980,12980,"Battle Creek, MI Metro Area",1112470
310M300US13020,13020,"Bay City, MI Metro Area",970990
310M300US13140,13140,"Beaumont-Port Arthur, TX Metro Area",3697475
310M300US13220,13220,"Beckley, WV Metro Area",1099670
310M300US13380,13380,"Bellingham, WA Metro Area",1993885
310M300US13460,13460,"Bend-Redmond, OR Metro Area",1361110
310M300US13740,13740,"Billings, MT Metro Area",1519505
310M300US13780,13780,"Binghamton, NY Metro Area",2135610
310M300US13820,13820,"Birmingham-Hoover, AL Metro Area",12866475
310M300US13900,13900,"Bismarck, ND Metro Area",1198285
310M300US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",1690410
310M300US14010,14010,"Bloomington, IL Metro Area",1732905
310M300US14020,14020,"Bloomington, IN Metro Area",1532440
310M300US14100,14100,"Bloomsburg-Berwick, PA Metro Area",794270
310M300US14260,14260,"Boise City, ID Metro Area",6384940
310M300US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",73576875
310M300US14500,14500,"Boulder, CO Metro Area",3342635
310M300US14540,14540,"Bowling Green, KY Metro Area",1576425
310M300US14740,14740,"Bremerton-Silverdale, WA Metro Area",3455040
310M300US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",13298975
310M300US15180,15180,"Brownsville-Harlingen, TX Metro Area",2989215
310M300US15260,15260,"Brunswick, GA Metro Area",1016190
310M300US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",11214395
310M300US15500,15500,"Burlington, NC Metro Area",1662440
310M300US15540,15540,"Burlington-South Burlington, VT Metro Area",2479020
310M300US15680,15680,"California-Lexington Park, MD Metro Area",1661210
310M300US15940,15940,"Canton-Massillon, OH Metro Area",4002965
310M300US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",7239785
310M300US16020,16020,"Cape Girardeau, MO-IL Metro Area",901925
310M300US16060,16060,"Carbondale-Marion, IL Metro Area",1054670
310M300US16180,16180,"Carson City, NV Metro Area",429300
310M300US16220,16220,"Casper, WY Metro Area",680415
310M300US16300,16300,"Cedar Rapids, IA Metro Area",2615735
310M300US16540,16540,"Chambersburg-Waynesboro, PA Metro Area",1664685
310M300US16580,16580,"Champaign-Urbana, IL Metro Area",2058005
310M300US16620,16620,"Charleston, WV Metro Area",1961635
310M300US16700,16700,"Charleston-North Charleston, SC Metro Area",8715445
310M300US16740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",29081645
310M300US16820,16820,"Charlottesville, VA Metro Area",2479350
310M300US16860,16860,"Chattanooga, TN-GA Metro Area",5494255
310M300US16940,16940,"Cheyenne, WY Metro Area",737685
310M300US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",137750535
310M300US17020,17020,"Chico, CA Metro Area",1713740
310M300US17140,17140,"Cincinnati, OH-KY-IN Metro Area",24433910
310M300US17300,17300,"Clarksville, TN-KY Metro Area",2821575
310M300US17420,17420,"Cleveland, TN Metro Area",1116200
310M300US17460,17460,"Cleveland-Elyria, OH Metro Area",22834735
310M300US17660,17660,"Coeur d'Alene, ID Metro Area",1365330
310M300US17780,17780,"College Station-Bryan, TX Metro Area",2030080
310M300US17820,17820,"Colorado Springs, CO Metro Area",7404760
310M300US17860,17860,"Columbia, MO Metro Area",1549280
310M300US17900,17900,"Columbia, SC Metro Area",8752085
310M300US17980,17980,"Columbus, GA-AL Metro Area",2713385
310M300US18020,18020,"Columbus, IN Metro Area",744340
310M300US18140,18140,"Columbus, OH Metro Area",22590255
310M300US18580,18580,"Corpus Christi, TX Metro Area",3963100
310M300US18700,18700,"Corvallis, OR Metro Area",741890
310M300US18880,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",2835925
310M300US19060,19060,"Cumberland, MD-WV Metro Area",887605
310M300US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",92127105
310M300US19140,19140,"Dalton, GA Metro Area",1372660
310M300US19180,19180,"Danville, IL Metro Area",607335
310M300US19300,19300,"Daphne-Fairhope-Foley, AL Metro Area",2239155
310M300US19340,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",3424255
310M300US19380,19380,"Dayton, OH Metro Area",7510185
310M300US19460,19460,"Decatur, AL Metro Area",1516680
310M300US19500,19500,"Decatur, IL Metro Area",820145
310M300US19660,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",5919735
310M300US19740,19740,"Denver-Aurora-Lakewood, CO Metro Area",37387485
310M300US19780,19780,"Des Moines-West Des Moines, IA Metro Area",6379450
310M300US19820,19820,"Detroit-Warren-Dearborn, MI Metro Area",49957845
310M300US20020,20020,"Dothan, AL Metro Area",1345475
310M300US20100,20100,"Dover, DE Metro Area",1975260
310M300US20220,20220,"Dubuque, IA Metro Area",786085
310M300US20260,20260,"Duluth, MN-WI Metro Area",2627350
310M300US20500,20500,"Durham-Chapel Hill, NC Metro Area",6008470
310M300US20700,20700,"East Stroudsburg, PA Metro Area",2812190
310M300US20740,20740,"Eau Claire, WI Metro Area",1585765
310M300US20940,20940,"El Centro, CA Metro Area",1169360
310M300US21060,21060,"Elizabethtown-Fort Knox, KY Metro Area",1606170
310M300US21140,21140,"Elkhart-Goshen, IN Metro Area",1733860
310M300US21300,21300,"Elmira, NY Metro Area",708955
310M300US21340,21340,"El Paso, TX Metro Area",7941520
310M300US21420,21420,"Enid, OK Metro Area",458405
310M300US21500,21500,"Erie, PA Metro Area",2326645
310M300US21660,21660,"Eugene, OR Metro Area",3100490
310M300US21780,21780,"Evansville, IN-KY Metro Area",3028755
310M300US21820,21820,"Fairbanks, AK Metro Area",956505
310M300US22020,22020,"Fargo, ND-MN Metro Area",2113525
310M300US22140,22140,"Farmington, NM Metro Area",1175170
310M300US22180,22180,"Fayetteville, NC Metro Area",3520180
310M300US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",4882790
310M300US22380,22380,"Flagstaff, AZ Metro Area",1121650
310M300US22420,22420,"Flint, MI Metro Area",4111495
310M300US22500,22500,"Florence, SC Metro Area",1900765
310M300US22520,22520,"Florence-Muscle Shoals, AL Metro Area",1422170
310M300US22540,22540,"Fond du Lac, WI Metro Area",1021760
310M300US22660,22660,"Fort Collins, CO Metro Area",3572355
310M300US22900,22900,"Fort Smith, AR-OK Metro Area",2390565
310M300US23060,23060,"Fort Wayne, IN Metro Area",4188750
310M300US23420,23420,"Fresno, CA Metro Area",8136685
310M300US23460,23460,"Gadsden, AL Metro Area",927520
310M300US23540,23540,"Gainesville, FL Metro Area",2598540
310M300US23580,23580,"Gainesville, GA Metro Area",2231515
310M300US23900,23900,"Gettysburg, PA Metro Area",1313810
310M300US24020,24020,"Glens Falls, NY Metro Area",1401020
310M300US24140,24140,"Goldsboro, NC Metro Area",1133780
310M300US24220,24220,"Grand Forks, ND-MN Metro Area",803005
310M300US24260,24260,"Grand Island, NE Metro Area",739955
310M300US24300,24300,"Grand Junction, CO Metro Area",1281460
310M300US24340,24340,"Grand Rapids-Wyoming, MI Metro Area",10607650
310M300US24420,24420,"Grants Pass, OR Metro Area",562960
310M300US24500,24500,"Great Falls, MT Metro Area",574930
310M300US24540,24540,"Greeley, CO Metro Area",3453875
310M300US24580,24580,"Green Bay, WI Metro Area",3123860
310M300US24660,24660,"Greensboro-High Point, NC Metro Area",7308060
310M300US24780,24780,"Greenville, NC Metro Area",1610335
310M300US24860,24860,"Greenville-Anderson-Mauldin, SC Metro Area",8644250
310M300US25060,25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",3942480
