state,Overall Rank,Corporate Tax Rank,Individual Income Tax Rank,Sales Tax Rank,Property Tax Rank,Unemployment Insurance Tax Rank
AL,39,20,30,48,15,12
AK,2,25,1,5,23,35
AZ,27,17,19,47,5,13
AR,46,40,40,44,26,34
CA,49,31,49,43,14,17
CO,18,16,14,38,12,40
CT,47,29,43,30,50,23
DE,11,50,41,2,9,3
FL,4,6,1,22,11,2
GA,33,8,38,29,24,38
HI,38,14,47,24,16,26
ID,21,26,23,26,4,48
IL,36,39,13,36,45,42
IN,10,18,15,12,2,11
IA,45,48,42,19,39,33
KS,28,34,21,31,20,15
KY,23,27,17,14,35,47
LA,44,36,32,50,32,4
ME,30,41,24,7,41,24
MD,40,22,45,18,42,28
MA,29,37,11,13,46,50
MI,13,11,12,11,22,49
MN,43,42,46,27,31,25
MS,31,15,27,35,36,5
MO,14,4,25,25,7,8
MT,5,12,22,3,10,21
NE,24,28,26,9,40,9
NV,9,33,5,40,8,45
NH,6,45,9,1,44,44
NJ,50,47,50,45,48,32
NM,25,21,31,41,1,10
NY,48,7,48,42,47,31
NC,12,3,16,20,33,7
ND,17,23,20,32,6,14
OH,42,46,44,28,13,6
OK,26,9,33,39,19,1
OR,7,30,36,4,17,37
PA,34,43,18,21,34,46
RI,37,32,29,23,43,29
SC,35,19,34,34,27,27
SD,3,1,1,33,28,39
TN,16,24,8,46,29,22
TX,15,49,6,37,37,18
UT,8,5,10,16,3,16
VT,41,38,37,15,49,20
VA,22,10,35,10,30,43
WA,20,44,6,49,25,19
WV,19,13,28,17,18,30
WI,32,35,39,8,21,41
WY,1,1,1,6,38,36
DC,46,27,45,25,47,33
